5000 125538
1 6 75
1 6 12
1 6 65
1 6 45
1 6 13
1 6 28
1 6 89
1 6 66
1 6 46
1 6 48
1 6 71
1 6 33
1 6 24
1 6 18
1 6 23
1 6 86
1 6 81
1 6 80
1 6 61
1 6 30
1 6 3
1 6 11
1 6 5
1 6 10
1 6 61
1 6 39
1 6 35
1 6 72
1 6 11
1 6 87
1 6 33
1 6 53
1 6 94
1 6 9
1 6 63
1 6 35
1 6 91
1 6 65
1 6 98
1 6 66
1 6 22
1 6 69
1 6 51
1 6 32
1 6 98
1 6 52
1 6 53
1 6 78
1 6 62
1 6 85
2 7 12
2 7 95
2 7 54
2 7 6
2 7 80
2 7 18
2 7 53
2 7 54
2 7 42
2 7 79
2 7 57
2 7 92
2 7 70
2 7 69
2 7 76
2 7 88
2 7 36
2 7 9
2 7 10
2 7 76
2 7 30
2 7 48
2 7 82
2 7 34
2 7 54
2 7 95
2 7 3
2 7 84
2 7 25
2 7 34
2 7 38
2 7 84
2 7 77
2 7 13
2 7 7
2 7 68
2 7 11
2 7 93
2 7 51
2 7 47
2 7 96
2 7 29
2 7 15
2 7 32
2 7 83
2 7 70
2 7 80
2 7 30
2 7 13
2 7 82
2 7 89
2 7 14
2 7 71
2 7 98
2 7 77
3 8 29
3 8 69
3 8 77
3 8 5
3 8 11
3 8 77
3 8 44
3 8 61
3 8 66
3 8 17
3 8 5
3 8 15
3 8 99
3 8 4
3 8 95
3 8 26
3 8 29
3 8 41
3 8 39
3 8 99
3 8 26
3 8 22
3 8 65
3 8 9
3 8 83
3 8 46
3 8 14
3 8 15
3 8 39
3 8 42
3 8 89
3 8 56
3 8 30
3 8 54
3 8 13
3 8 34
3 8 25
3 8 64
3 8 57
3 8 15
3 8 79
3 8 7
3 8 31
3 8 13
4 9 63
4 9 67
4 9 48
4 9 12
4 9 94
4 9 37
4 9 60
4 9 30
4 9 62
4 9 30
4 9 99
4 9 9
4 9 71
4 9 31
4 9 3
4 9 8
4 9 76
4 9 88
4 9 82
4 9 39
4 9 63
4 9 1
4 9 24
4 9 40
4 9 1
4 9 54
4 9 52
4 9 18
4 9 97
4 9 63
4 9 78
4 9 67
4 9 49
4 9 76
4 9 20
4 9 16
4 9 12
4 9 83
4 9 69
4 9 68
4 9 8
4 9 84
4 9 24
4 9 97
4 9 8
4 9 98
4 9 25
4 9 28
4 9 12
4 9 21
4 9 49
4 9 15
4 9 15
4 9 91
4 9 49
4 9 15
5 10 9
5 10 86
5 10 82
5 10 11
5 10 32
5 10 15
5 10 54
5 10 11
5 10 9
5 10 22
5 10 12
5 10 81
5 10 52
5 10 79
5 10 80
5 10 77
5 10 88
5 10 68
5 10 56
5 10 82
5 10 23
5 10 55
5 10 82
5 10 87
5 10 60
5 10 61
5 10 61
5 10 68
5 10 29
5 10 62
5 10 91
5 10 46
5 10 78
5 10 89
5 10 21
5 10 72
5 10 21
5 10 48
5 10 97
5 10 38
5 10 2
5 10 55
5 10 69
5 10 53
5 10 51
5 10 84
5 10 44
5 10 75
5 10 42
5 10 4
6 11 49
6 11 24
6 11 31
6 11 95
6 11 38
6 11 68
6 11 72
6 11 100
6 11 9
6 11 82
6 11 81
6 11 7
6 11 53
6 11 69
6 11 98
6 11 9
6 11 71
6 11 46
6 11 62
6 11 31
6 11 92
6 11 78
6 11 44
6 11 56
6 11 36
6 11 94
6 11 22
6 11 88
6 11 74
6 11 30
6 11 75
6 11 51
6 11 12
6 11 27
6 11 12
6 11 7
6 11 17
6 11 54
6 11 62
6 11 53
6 11 74
6 11 97
6 11 32
6 11 70
6 11 10
6 11 2
6 11 34
6 11 82
6 11 13
6 11 53
6 11 36
6 11 37
6 11 29
6 11 87
6 11 82
7 12 58
7 12 48
7 12 5
7 12 31
7 12 44
7 12 68
7 12 48
7 12 97
7 12 4
7 12 5
7 12 54
7 12 26
7 12 4
7 12 31
7 12 59
7 12 46
7 12 38
7 12 61
7 12 92
7 12 97
7 12 50
7 12 39
7 12 38
7 12 77
7 12 25
7 12 48
7 12 66
7 12 76
7 12 78
7 12 67
7 12 74
7 12 97
7 12 5
7 12 92
7 12 35
7 12 84
7 12 100
7 12 30
7 12 77
7 12 55
7 12 36
7 12 79
7 12 27
7 12 52
7 12 2
7 12 51
7 12 95
7 12 90
7 12 22
7 12 71
7 12 39
7 12 50
7 12 4
7 12 66
7 12 43
7 12 66
7 12 41
8 13 88
8 13 46
8 13 78
8 13 74
8 13 69
8 13 17
8 13 32
8 13 33
8 13 16
8 13 74
8 13 24
8 13 93
8 13 23
8 13 76
8 13 41
8 13 59
8 13 42
8 13 91
8 13 58
8 13 20
8 13 3
8 13 13
8 13 86
8 13 73
8 13 5
8 13 52
8 13 17
8 13 55
8 13 1
8 13 48
8 13 75
8 13 94
8 13 17
8 13 62
8 13 56
8 13 71
8 13 13
8 13 80
8 13 52
8 13 55
8 13 97
8 13 46
8 13 76
9 14 16
9 14 72
9 14 29
9 14 90
9 14 55
9 14 32
9 14 96
9 14 86
9 14 72
9 14 31
9 14 88
9 14 41
9 14 19
9 14 31
9 14 16
9 14 61
9 14 65
9 14 29
9 14 86
9 14 100
9 14 37
9 14 54
9 14 20
9 14 22
9 14 65
9 14 99
9 14 63
9 14 65
9 14 11
9 14 59
9 14 28
9 14 52
9 14 45
9 14 74
9 14 46
9 14 36
9 14 78
9 14 50
9 14 25
9 14 72
9 14 75
9 14 55
9 14 46
9 14 71
9 14 33
9 14 3
9 14 97
9 14 70
9 14 63
9 14 76
9 14 99
10 15 50
10 15 8
10 15 6
10 15 11
10 15 16
10 15 38
10 15 37
10 15 1
10 15 100
10 15 49
10 15 61
10 15 8
10 15 55
10 15 5
10 15 65
10 15 80
10 15 72
10 15 86
10 15 82
10 15 40
10 15 86
10 15 77
10 15 94
10 15 19
10 15 3
10 15 49
10 15 79
10 15 53
10 15 62
10 15 31
10 15 25
10 15 50
10 15 3
10 15 66
10 15 90
10 15 40
10 15 17
10 15 89
10 15 24
10 15 78
10 15 38
10 15 22
10 15 23
10 15 24
10 15 89
10 15 84
10 15 32
10 15 45
10 15 31
10 15 75
10 15 91
10 15 54
10 15 100
10 15 3
10 15 98
10 15 43
11 16 50
11 16 87
11 16 79
11 16 51
11 16 21
11 16 6
11 16 87
11 16 44
11 16 54
11 16 97
11 16 13
11 16 18
11 16 63
11 16 69
11 16 39
11 16 39
11 16 34
11 16 28
11 16 5
11 16 21
11 16 6
11 16 8
11 16 46
11 16 71
11 16 52
11 16 37
11 16 37
11 16 100
11 16 30
11 16 23
11 16 73
11 16 28
11 16 8
11 16 77
11 16 26
11 16 29
11 16 1
11 16 17
11 16 78
11 16 68
11 16 13
11 16 30
11 16 45
11 16 26
11 16 16
11 16 92
12 17 41
12 17 94
12 17 44
12 17 44
12 17 80
12 17 61
12 17 36
12 17 19
12 17 66
12 17 95
12 17 23
12 17 11
12 17 15
12 17 71
12 17 16
12 17 93
12 17 99
12 17 9
12 17 61
12 17 64
12 17 1
12 17 4
12 17 72
12 17 43
12 17 8
12 17 73
12 17 86
12 17 87
12 17 95
12 17 22
12 17 90
12 17 53
12 17 77
12 17 91
12 17 84
12 17 61
12 17 74
12 17 69
12 17 87
12 17 94
12 17 94
12 17 96
12 17 27
12 17 92
12 17 62
12 17 95
12 17 2
12 17 63
12 17 13
12 17 25
12 17 78
12 17 75
12 17 92
13 18 70
13 18 85
13 18 82
13 18 10
13 18 86
13 18 100
13 18 53
13 18 2
13 18 66
13 18 8
13 18 51
13 18 35
13 18 97
13 18 95
13 18 27
13 18 73
13 18 49
13 18 16
13 18 100
13 18 13
13 18 30
13 18 5
13 18 42
13 18 85
13 18 75
13 18 21
13 18 73
13 18 39
13 18 83
13 18 75
13 18 97
13 18 8
13 18 71
13 18 84
13 18 51
13 18 73
13 18 87
13 18 95
13 18 15
13 18 65
13 18 66
13 18 11
13 18 65
13 18 33
13 18 76
13 18 36
14 19 74
14 19 52
14 19 9
14 19 10
14 19 71
14 19 95
14 19 75
14 19 31
14 19 79
14 19 70
14 19 37
14 19 98
14 19 1
14 19 19
14 19 94
14 19 2
14 19 76
14 19 61
14 19 11
14 19 61
14 19 12
14 19 27
14 19 79
14 19 80
14 19 64
14 19 34
14 19 70
14 19 72
14 19 81
14 19 44
14 19 17
14 19 98
14 19 55
14 19 42
14 19 100
14 19 22
14 19 19
14 19 69
14 19 76
14 19 34
14 19 17
14 19 97
14 19 1
14 19 37
14 19 51
14 19 51
14 19 94
14 19 56
14 19 41
14 19 25
14 19 10
14 19 10
14 19 14
14 19 65
14 19 73
15 20 41
15 20 86
15 20 20
15 20 59
15 20 21
15 20 92
15 20 73
15 20 11
15 20 56
15 20 45
15 20 99
15 20 24
15 20 39
15 20 45
15 20 66
15 20 63
15 20 45
15 20 73
15 20 9
15 20 61
15 20 97
15 20 88
15 20 24
15 20 66
15 20 24
15 20 40
15 20 38
15 20 67
15 20 24
15 20 40
15 20 77
15 20 83
15 20 95
15 20 98
15 20 28
15 20 37
15 20 81
15 20 21
15 20 72
15 20 82
16 21 20
16 21 73
16 21 24
16 21 68
16 21 58
16 21 47
16 21 32
16 21 81
16 21 38
16 21 10
16 21 77
16 21 5
16 21 16
16 21 73
16 21 23
16 21 1
16 21 26
16 21 51
16 21 74
16 21 85
16 21 86
16 21 90
16 21 82
16 21 99
16 21 13
16 21 51
16 21 36
16 21 5
16 21 92
16 21 22
16 21 68
16 21 77
16 21 5
16 21 71
16 21 54
16 21 2
16 21 37
16 21 66
16 21 60
16 21 18
16 21 49
16 21 54
16 21 34
16 21 87
16 21 68
16 21 72
16 21 8
16 21 11
16 21 63
16 21 48
16 21 100
16 21 76
16 21 18
16 21 40
16 21 90
16 21 57
16 21 74
16 21 83
17 22 56
17 22 12
17 22 45
17 22 6
17 22 70
17 22 33
17 22 40
17 22 94
17 22 54
17 22 53
17 22 7
17 22 88
17 22 37
17 22 57
17 22 73
17 22 19
17 22 98
17 22 49
17 22 60
17 22 9
17 22 36
17 22 40
17 22 77
17 22 11
17 22 19
17 22 27
17 22 85
17 22 15
17 22 58
17 22 36
17 22 47
17 22 60
17 22 73
17 22 29
17 22 47
17 22 45
17 22 13
17 22 95
17 22 80
17 22 20
17 22 2
17 22 53
17 22 33
17 22 74
17 22 27
17 22 63
17 22 60
17 22 39
17 22 66
17 22 16
18 23 84
18 23 6
18 23 99
18 23 60
18 23 58
18 23 46
18 23 87
18 23 21
18 23 80
18 23 76
18 23 76
18 23 28
18 23 66
18 23 16
18 23 18
18 23 11
18 23 7
18 23 62
18 23 33
18 23 56
18 23 90
18 23 39
