10000 253828
1 6 14
1 6 113
1 6 122
1 6 191
1 6 117
1 6 59
1 6 187
1 6 184
1 6 72
1 6 197
1 6 77
1 6 116
1 6 79
1 6 81
1 6 106
1 6 68
1 6 29
1 6 20
1 6 144
1 6 24
1 6 170
1 6 57
1 6 155
1 6 156
1 6 94
1 6 101
1 6 140
1 6 166
1 6 177
1 6 95
1 6 28
1 6 77
1 6 87
1 6 138
1 6 58
1 6 44
1 6 174
1 6 99
1 6 80
1 6 27
1 6 184
1 6 64
1 6 122
1 6 46
1 6 30
1 6 77
1 6 15
1 6 170
1 6 24
1 6 20
1 6 18
1 6 145
1 6 5
1 6 3
1 6 185
1 6 123
1 6 1
1 6 171
1 6 126
1 6 174
1 6 55
1 6 188
1 6 17
1 6 18
1 6 54
1 6 133
1 6 70
1 6 162
1 6 105
1 6 172
1 6 59
1 6 182
1 6 62
1 6 55
1 6 157
1 6 163
1 6 3
1 6 141
1 6 92
1 6 34
1 6 73
1 6 53
1 6 9
1 6 157
1 6 109
1 6 21
1 6 118
1 6 196
1 6 127
1 6 44
1 6 101
1 6 20
1 6 11
1 6 199
1 6 36
1 6 66
1 6 24
1 6 62
1 6 73
1 6 148
1 6 122
1 6 196
1 6 194
1 6 81
1 6 151
1 6 179
1 6 153
2 7 1
2 7 139
2 7 108
2 7 109
2 7 50
2 7 69
2 7 20
2 7 134
2 7 106
2 7 45
2 7 93
2 7 127
2 7 37
2 7 196
2 7 132
2 7 81
2 7 12
2 7 25
2 7 112
2 7 65
2 7 117
2 7 139
2 7 77
2 7 108
2 7 14
2 7 177
2 7 43
2 7 163
2 7 54
2 7 125
2 7 36
2 7 192
2 7 78
2 7 34
2 7 96
2 7 22
2 7 88
2 7 104
2 7 15
2 7 2
2 7 61
2 7 191
2 7 200
2 7 133
2 7 66
2 7 77
2 7 48
2 7 28
2 7 7
2 7 157
2 7 142
2 7 109
2 7 59
2 7 125
2 7 160
2 7 24
2 7 55
2 7 194
2 7 66
2 7 21
2 7 4
2 7 141
2 7 176
2 7 182
2 7 107
2 7 166
