5000 125538
1 6 150
1 6 24
1 6 129
1 6 89
1 6 26
1 6 55
1 6 178
1 6 131
1 6 91
1 6 95
1 6 142
1 6 65
1 6 48
1 6 36
1 6 46
1 6 172
1 6 162
1 6 160
1 6 122
1 6 60
1 6 5
1 6 21
1 6 10
1 6 20
1 6 122
1 6 77
1 6 70
1 6 144
1 6 22
1 6 173
1 6 65
1 6 106
1 6 187
1 6 18
1 6 125
1 6 70
1 6 182
1 6 130
1 6 195
1 6 132
1 6 43
1 6 137
1 6 101
1 6 63
1 6 195
1 6 104
1 6 106
1 6 155
1 6 124
1 6 170
2 7 24
2 7 189
2 7 108
2 7 11
2 7 159
2 7 36
2 7 106
2 7 108
2 7 84
2 7 157
2 7 114
2 7 183
2 7 140
2 7 138
2 7 152
2 7 176
2 7 71
2 7 17
2 7 20
2 7 152
2 7 59
2 7 95
2 7 164
2 7 67
2 7 108
2 7 189
2 7 5
2 7 168
2 7 49
2 7 67
2 7 76
2 7 168
2 7 153
2 7 25
2 7 13
2 7 136
2 7 22
2 7 186
2 7 101
2 7 94
2 7 192
2 7 58
2 7 29
2 7 64
2 7 166
2 7 139
2 7 159
2 7 59
2 7 26
2 7 164
2 7 177
2 7 28
2 7 142
2 7 196
2 7 153
3 8 58
3 8 137
3 8 153
3 8 10
3 8 22
3 8 154
3 8 88
3 8 121
3 8 131
3 8 34
3 8 9
3 8 29
3 8 198
3 8 7
3 8 190
3 8 52
3 8 57
3 8 82
3 8 77
3 8 197
3 8 52
3 8 43
3 8 130
3 8 18
3 8 165
3 8 92
3 8 28
3 8 29
3 8 77
3 8 84
3 8 178
3 8 112
3 8 60
3 8 108
3 8 26
3 8 68
3 8 50
3 8 128
3 8 113
3 8 29
3 8 157
3 8 13
3 8 61
3 8 26
4 9 126
4 9 133
4 9 95
4 9 23
4 9 188
4 9 74
4 9 120
4 9 60
4 9 123
4 9 59
4 9 197
4 9 17
4 9 142
4 9 61
4 9 5
4 9 15
4 9 151
4 9 175
4 9 164
4 9 77
4 9 125
4 9 2
4 9 48
4 9 79
4 9 1
4 9 107
4 9 103
4 9 36
4 9 193
4 9 125
4 9 155
4 9 134
4 9 98
4 9 152
4 9 40
4 9 32
4 9 24
4 9 165
4 9 138
4 9 135
4 9 15
4 9 167
4 9 47
4 9 194
4 9 16
4 9 195
4 9 49
4 9 56
4 9 23
4 9 42
4 9 98
4 9 29
4 9 30
4 9 181
4 9 98
4 9 30
5 10 18
5 10 171
5 10 163
5 10 22
5 10 64
5 10 29
5 10 107
5 10 22
5 10 17
5 10 43
5 10 23
5 10 162
5 10 103
5 10 158
5 10 159
5 10 153
5 10 175
5 10 136
5 10 112
5 10 164
5 10 45
5 10 110
5 10 163
5 10 174
5 10 120
5 10 122
5 10 122
5 10 136
5 10 57
5 10 124
5 10 181
5 10 91
5 10 156
5 10 178
5 10 42
5 10 143
5 10 42
5 10 96
5 10 193
5 10 76
5 10 3
5 10 109
5 10 138
5 10 106
5 10 101
5 10 167
5 10 88
5 10 150
5 10 84
5 10 7
6 11 97
6 11 47
6 11 62
6 11 189
6 11 76
6 11 136
6 11 144
6 11 200
6 11 18
6 11 163
6 11 161
6 11 14
6 11 106
6 11 138
6 11 196
6 11 18
6 11 142
6 11 92
6 11 124
6 11 61
6 11 183
6 11 156
6 11 87
6 11 112
6 11 71
6 11 187
6 11 43
6 11 176
6 11 148
6 11 59
6 11 150
6 11 102
6 11 24
6 11 53
6 11 24
6 11 13
6 11 33
6 11 107
6 11 124
6 11 106
6 11 148
6 11 193
6 11 63
6 11 139
6 11 20
6 11 3
6 11 67
6 11 164
6 11 25
6 11 106
6 11 72
6 11 74
6 11 58
6 11 174
6 11 163
7 12 115
7 12 96
7 12 10
7 12 61
7 12 88
7 12 136
7 12 96
7 12 194
7 12 8
7 12 9
7 12 107
7 12 52
7 12 8
7 12 61
7 12 118
7 12 91
7 12 76
7 12 122
7 12 184
7 12 193
7 12 100
7 12 77
7 12 76
7 12 154
7 12 50
7 12 96
7 12 131
7 12 151
7 12 155
7 12 133
7 12 148
7 12 193
7 12 10
7 12 183
7 12 69
7 12 167
7 12 199
7 12 60
7 12 153
7 12 110
7 12 72
7 12 157
7 12 54
7 12 104
7 12 4
7 12 101
7 12 189
7 12 179
7 12 43
7 12 142
7 12 77
7 12 100
7 12 7
7 12 131
7 12 86
7 12 131
7 12 82
8 13 176
8 13 91
8 13 156
8 13 148
8 13 137
8 13 33
8 13 64
