5000 127655
1 6 79
1 6 26
1 6 75
1 6 71
1 6 50
1 6 6
1 6 6
1 6 5
1 6 81
1 6 25
1 6 49
1 6 70
1 6 95
1 6 38
1 6 91
1 6 4
1 6 43
1 6 84
1 6 22
1 6 100
1 6 74
1 6 81
1 6 5
1 6 9
1 6 81
1 6 91
1 6 86
1 6 42
1 6 61
1 6 87
1 6 37
1 6 6
1 6 3
1 6 74
1 6 42
1 6 55
1 6 13
1 6 84
1 6 74
1 6 83
1 6 51
1 6 19
1 6 60
1 6 52
1 6 90
2 7 57
2 7 26
2 7 32
2 7 68
2 7 98
2 7 22
2 7 96
2 7 81
2 7 38
2 7 60
2 7 42
2 7 35
2 7 14
2 7 40
2 7 83
2 7 52
2 7 18
2 7 76
2 7 65
2 7 39
2 7 38
2 7 61
2 7 6
2 7 81
2 7 6
2 7 32
2 7 64
2 7 1
2 7 8
2 7 18
2 7 88
2 7 21
2 7 65
2 7 43
2 7 46
2 7 76
2 7 85
2 7 94
2 7 71
2 7 37
2 7 26
2 7 84
2 7 87
3 8 98
3 8 44
3 8 5
3 8 91
3 8 61
3 8 69
3 8 18
3 8 88
3 8 48
3 8 26
3 8 21
3 8 36
3 8 78
3 8 37
3 8 35
3 8 84
3 8 84
3 8 35
3 8 96
3 8 89
3 8 56
3 8 80
3 8 45
3 8 63
3 8 86
3 8 89
3 8 37
3 8 70
3 8 39
3 8 90
3 8 84
3 8 57
3 8 90
3 8 86
3 8 72
3 8 83
3 8 28
3 8 89
3 8 63
3 8 82
3 8 25
3 8 66
3 8 65
3 8 79
3 8 100
3 8 92
3 8 44
3 8 14
3 8 17
3 8 78
3 8 67
3 8 97
3 8 65
3 8 89
3 8 27
3 8 50
3 8 55
3 8 77
3 8 86
3 8 24
3 8 97
3 8 72
3 8 47
4 9 78
4 9 47
4 9 87
4 9 11
4 9 12
4 9 67
4 9 85
4 9 3
4 9 25
4 9 60
4 9 6
4 9 57
4 9 75
4 9 7
4 9 61
4 9 28
4 9 2
4 9 96
4 9 89
4 9 61
