10000 252856
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
1 6 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
2 7 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
3 8 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
4 9 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
5 10 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
6 11 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
7 12 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
8 13 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
9 14 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
10 15 30
